FeatureID,FeatureName,Antigen Presenting Myeloid Cells Average,Antigen Presenting Myeloid Cells Log2 Fold Change,Antigen Presenting Myeloid Cells P-Value
ENSGACG00000018430,ENSGACG00000018430,3.640741338604489,7.7451915946191185,2.4818819459832303e-172
ENSGACG00000012665,ENSGACG00000012665,13.832451213194437,7.5789493592122295,7.879541107608065e-167
ENSGACG00000018429,ENSGACG00000018429,3.916669785395865,7.383413543652214,4.807670923198382e-160
ENSGACG00000010912,ENSGACG00000010912,1.0987116546171065,7.5018341924828045,2.706872499396091e-159
ENSGACG00000003555,ENSGACG00000003555,6.044941991967762,7.219791591484481,7.2966833871886316e-155
ENSGACG00000003403,ENSGACG00000003403,2.286109767389599,6.923041070830653,5.695863281940532e-143
ENSGACG00000016267,ENSGACG00000016267,1.1774614440614852,6.912095121165417,2.413904886965496e-141
ENSGACG00000003551,ENSGACG00000003551,7.249441990344913,6.736683378657039,1.8351354497471344e-137
ENSGACG00000008033,krt18b,2.684658058002523,6.623107341827316,1.0311987000130942e-133
ENSGACG00000003794,krt8,3.047042282218243,6.567889091349957,2.2271375317959354e-131
ENSGACG00000016266,tmem176,1.628532126432591,6.4746798929060585,3.2652322523439405e-128
ENSGACG00000019078,cxcl19,1.8048910969565255,6.050298492868305,3.4868442908821176e-109
ENSGACG00000008514,ENSGACG00000008514,2.307267436141608,5.776802734362993,1.3423702498887139e-104
ENSGACG00000017988,ENSGACG00000017988,1.292578089060435,5.741496154667155,4.369991046425838e-103
ENSGACG00000018502,sprb,1.6253550963005001,5.588164245439744,2.3092720945077952e-98
ENSGACG00000009620,ctsl.1,1.3591605290627637,5.63514912832032,1.1059770446417353e-96
ENSGACG00000008819,ENSGACG00000008819,4.653470390497776,5.162936233244661,6.25001608577294e-85
ENSGACG00000020024,epdl1,1.157385317482103,5.029752090142404,3.0895299365979426e-75
ENSGACG00000006358,ENSGACG00000006358,3.6014678384609833,4.750774979939449,2.1160021841035612e-69
ENSGACG00000012609,ENSGACG00000012609,1.3513869446970097,4.311449528625094,2.1847322747439782e-58
ENSGACG00000017697,ENSGACG00000017697,1.036590576076863,4.142384543990069,9.249472138837052e-54
ENSGACG00000020061,S100P,2.019577218222917,4.035876173145796,1.3320401973102254e-49
ENSGACG00000002813,glud1b,1.5161193368652075,3.5899380029124552,2.9382532765803913e-40
ENSGACG00000003825,ENSGACG00000003825,1.2596586491811113,3.4376584525958482,2.8760927926330626e-36
ENSGACG00000004084,cndp2,1.3108967096092992,3.3406836920913427,1.9931826213986697e-34
ENSGACG00000012167,lgmn,1.2173433116770933,3.2456738858475545,2.7905494153726974e-32
ENSGACG00000003266,ENSGACG00000003266,4.370309130426959,2.9460133421865526,2.4448074499132092e-26
ENSGACG00000013795,csf3r,3.8630658514650564,2.91746056656084,9.413105680782388e-26
ENSGACG00000003218,ctsa,1.0189479193858906,2.646876001104779,1.09774072709388e-20
ENSGACG00000005772,zgc:152830,1.3812645472158211,2.6200391056378987,2.740362100214544e-20
ENSGACG00000001884,ENSGACG00000001884,1.1283864679785505,2.5877229354477223,1.0083998496542829e-19
ENSGACG00000007985,ctsc,1.3275930168992232,2.5881485221122746,1.3942502707668056e-19
ENSGACG00000017163,ENSGACG00000017163,4.313190184435114,2.4886153155544535,4.830560537253508e-18
ENSGACG00000007298,tspan36,1.4994230295752835,2.3505230747467856,5.129650098039233e-16
ENSGACG00000015519,ifi30,1.4948264753416203,2.3054090768995232,2.328920773615765e-15
ENSGACG00000007718,npc2,1.058559401458342,2.2840216440640746,4.7085150612873945e-15
ENSGACG00000010476,fosab,2.5776529792982728,2.2697146482860275,7.713199871348418e-15
ENSGACG00000007518,gstr,1.6474591144535575,2.1865304204671454,1.083358671962264e-13
ENSGACG00000018609,clta,1.4808340234832629,1.9945883804691762,2.6784205029171995e-11
ENSGACG00000000350,ENSGACG00000000350,3.329122000116433,1.9362695815379525,1.394471961539146e-10
ENSGACG00000007476,fuca1.2,1.148935769258457,1.9153085348016177,2.3652548246533317e-10
ENSGACG00000018016,cd74a,9.389340775272546,1.8238379106317133,2.4017989532219663e-09
ENSGACG00000000344,ENSGACG00000000344,4.3361729556034305,1.8066321831640433,3.6501978862243804e-09
ENSGACG00000000330,ENSGACG00000000330,1.310423534908775,1.7417366723712617,1.8227138141869852e-08
ENSGACG00000010801,ENSGACG00000010801,9.396370799394619,1.712950311345536,3.34527767817669e-08
ENSGACG00000017070,anxa4,2.6210498589749176,1.6499079937747863,1.2875983286478752e-07
ENSGACG00000005108,psap,4.514762606858407,1.5729812797338614,6.732036847389069e-07
ENSGACG00000005841,ENSGACG00000005841,1.259929034724268,1.552637577110823,1.0834817516694481e-06
ENSGACG00000000850,ENSGACG00000000850,1.3162368240866433,1.4564915199522543,6.54223791580841e-06
ENSGACG00000007723,si:dkey-262k9.4,1.476372662021178,1.3012355888331013,9.504677317743088e-05
ENSGACG00000007989,itm2bb,5.314292657972665,1.2982002565004218,9.785824088143806e-05
ENSGACG00000005975,ENSGACG00000005975,2.684320076073577,1.264854900493718,0.00018369675920770697
ENSGACG00000015475,atp6v1g1,2.2214200261893673,1.1467442446496292,0.0009420490321919956
ENSGACG00000013470,CTSS,3.7669437908728622,1.0575107495267468,0.003058823779856629
ENSGACG00000019326,ponzr1,3.011081004978406,1.047453009166855,0.003461765808404374
ENSGACG00000013667,lgals9l6,1.2334988478807039,1.0294591739880778,0.00436698236968909
ENSGACG00000006710,ENSGACG00000006710,2.940172396285571,1.0066861376100307,0.005746444813992806
ENSGACG00000017028,ENSGACG00000017028,4.047333599126324,0.9302161444626555,0.013156961833029314
ENSGACG00000002408,aprt,1.105809275124969,0.8641939160455824,0.026170664478012234
ENSGACG00000017044,anxa5b,1.5441718369677115,0.7541078767709115,0.07007955836510797
ENSGACG00000007839,mmp25b,1.4934745476258369,0.714637696650724,0.0950911944552831
ENSGACG00000001305,ssr2,1.144068829481637,0.6686910066044196,0.1339303324191166
ENSGACG00000016890,klf2b,1.0182043591422096,0.6457672584676228,0.15767907675001566
ENSGACG00000012539,rpl22l1,2.004638416963511,0.5935818280514863,0.21849147334308197
ENSGACG00000003568,ENSGACG00000003568,1.4761022764780212,0.5112844833863978,0.34377247378126097
ENSGACG00000009225,ENSGACG00000009225,2.733597841313879,0.4979247946828683,0.36741662664552094
ENSGACG00000010916,rps12,14.080732738198044,0.4818721206078176,0.39588407091529365
ENSGACG00000009661,NDUFA4,2.112995423383545,0.46541868877588244,0.42381643165712507
ENSGACG00000004968,rpl4,2.4246823582573898,0.4645703735917939,0.4247897769168905
ENSGACG00000015549,rps15,3.062386661792383,0.462482983270903,0.4282692063131076
ENSGACG00000006713,ENSGACG00000006713,2.19282675500055,0.4579658726464271,0.43732494525929727
ENSGACG00000016489,rps8a,15.408055369554111,0.44007063575923455,0.4726070591493952
ENSGACG00000007961,rpl15,8.063302475246473,0.42992818277119493,0.4903400945059495
ENSGACG00000001108,ENSGACG00000001108,6.334795294231706,0.4146238004451077,0.5120740096429147
